timestamp,symbol,timeframe,open,high,low,close,tick_volume,spread,real_volume
2025-09-25 22:00:00+00:00,XAUUSDm,H1,3748.251,3751.594,3746.303,3748.845,4772,160,0
2025-09-25 23:00:00+00:00,XAUUSDm,H1,3748.831,3749.94,3738.051,3744.717,8534,160,0
2025-09-26 00:00:00+00:00,XAUUSDm,H1,3744.676,3749.597,3740.215,3749.569,10976,160,0
2025-09-26 01:00:00+00:00,XAUUSDm,H1,3749.639,3753.33,3737.693,3738.969,14153,160,0
2025-09-26 02:00:00+00:00,XAUUSDm,H1,3738.998,3742.896,3737.603,3738.419,8231,160,0
2025-09-26 03:00:00+00:00,XAUUSDm,H1,3738.455,3746.092,3734.464,3745.435,6855,160,0
2025-09-26 04:00:00+00:00,XAUUSDm,H1,3745.474,3747.768,3744.648,3747.724,5120,160,0
2025-09-26 05:00:00+00:00,XAUUSDm,H1,3747.609,3749.612,3741.865,3742.11,6038,160,0
2025-09-26 06:00:00+00:00,XAUUSDm,H1,3742.061,3754.165,3741.468,3743.66,12739,160,0
2025-09-26 07:00:00+00:00,XAUUSDm,H1,3743.608,3749.56,3739.181,3747.971,10398,160,0
2025-09-26 08:00:00+00:00,XAUUSDm,H1,3747.991,3755.206,3747.025,3752.951,8023,160,0
2025-09-26 09:00:00+00:00,XAUUSDm,H1,3752.914,3754.455,3747.237,3751.509,6905,160,0
2025-09-26 10:00:00+00:00,XAUUSDm,H1,3751.527,3755.015,3742.903,3744.65,7382,160,0
2025-09-26 11:00:00+00:00,XAUUSDm,H1,3744.646,3752.898,3744.416,3748.706,7591,160,0
2025-09-26 12:00:00+00:00,XAUUSDm,H1,3748.662,3757.451,3746.602,3752.048,15803,160,0
2025-09-26 13:00:00+00:00,XAUUSDm,H1,3752.092,3766.361,3751.238,3761.906,27228,160,0
2025-09-26 14:00:00+00:00,XAUUSDm,H1,3761.846,3783.826,3761.571,3778.894,25311,160,0
2025-09-26 15:00:00+00:00,XAUUSDm,H1,3778.835,3780.965,3772.95,3780.373,13781,160,0
2025-09-26 16:00:00+00:00,XAUUSDm,H1,3780.332,3781.248,3771.419,3774.202,12479,160,0
2025-09-26 17:00:00+00:00,XAUUSDm,H1,3774.193,3783.092,3774.032,3782.873,9357,160,0
2025-09-26 18:00:00+00:00,XAUUSDm,H1,3782.908,3783.204,3774.682,3778.558,8641,160,0
2025-09-26 19:00:00+00:00,XAUUSDm,H1,3778.55,3778.55,3764.617,3766.707,11874,160,0
2025-09-26 20:00:00+00:00,XAUUSDm,H1,3766.743,3769.555,3760.026,3761.041,6557,160,0
2025-09-28 22:00:00+00:00,XAUUSDm,H1,3764.718,3770.994,3763.322,3770.583,6654,160,0
2025-09-28 23:00:00+00:00,XAUUSDm,H1,3770.482,3772.502,3766.297,3766.899,6304,160,0
