timestamp,symbol,timeframe,open,high,low,close,tick_volume,spread,real_volume
2025-09-26 00:00:00+00:00,XAUUSDm,D1,3744.676,3783.826,3734.464,3761.041,235442,160,0
2025-09-28 00:00:00+00:00,XAUUSDm,D1,3764.718,3772.502,3763.322,3766.899,12958,160,0
2025-09-29 00:00:00+00:00,XAUUSDm,D1,3766.858,3834.025,3763.91,3832.835,318441,160,0
2025-09-30 00:00:00+00:00,XAUUSDm,D1,3832.89,3871.7,3793.074,3862.927,358279,160,0
2025-10-01 00:00:00+00:00,XAUUSDm,D1,3862.94,3895.376,3853.356,3863.518,322759,160,0
2025-10-02 00:00:00+00:00,XAUUSDm,D1,3863.475,3897.154,3819.32,3862.41,314608,160,0
2025-10-03 00:00:00+00:00,XAUUSDm,D1,3862.365,3891.638,3837.995,3887.045,267080,160,0
2025-10-05 00:00:00+00:00,XAUUSDm,D1,3888.624,3920.986,3884.034,3909.45,35338,160,0
2025-10-06 00:00:00+00:00,XAUUSDm,D1,3909.487,3976.198,3898.931,3969.514,378420,160,0
2025-10-07 00:00:00+00:00,XAUUSDm,D1,3969.556,3995.946,3940.82,3994.411,347923,160,0
2025-10-08 00:00:00+00:00,XAUUSDm,D1,3994.367,4059.321,3984.478,4011.708,368438,160,0
2025-10-09 00:00:00+00:00,XAUUSDm,D1,4011.706,4057.978,3944.6,3989.932,550715,160,0
2025-10-10 00:00:00+00:00,XAUUSDm,D1,3989.927,4022.825,3946.94,4010.399,517724,160,0
2025-10-12 00:00:00+00:00,XAUUSDm,D1,4014.463,4060.193,4008.645,4035.147,49709,160,0
2025-10-13 00:00:00+00:00,XAUUSDm,D1,4035.195,4132.069,4024.338,4128.045,409302,160,0
2025-10-14 00:00:00+00:00,XAUUSDm,D1,4128.091,4179.707,4090.603,4161.613,643731,160,0
2025-10-15 00:00:00+00:00,XAUUSDm,D1,4161.574,4218.221,4153.803,4209.458,458570,160,0
2025-10-16 00:00:00+00:00,XAUUSDm,D1,4209.563,4380.074,4203.546,4365.805,521354,160,0
2025-10-17 00:00:00+00:00,XAUUSDm,D1,4365.763,4378.554,4186.194,4250.936,1000752,160,0
2025-10-19 00:00:00+00:00,XAUUSDm,D1,4264.629,4268.325,4233.246,4237.851,40955,160,0
2025-10-20 00:00:00+00:00,XAUUSDm,D1,4237.822,4381.569,4218.935,4360.492,588360,160,0
2025-10-21 00:00:00+00:00,XAUUSDm,D1,4360.442,4372.296,4080.817,4093.156,905906,160,0
2025-10-22 00:00:00+00:00,XAUUSDm,D1,4093.182,4161.36,4004.185,4087.735,1006150,160,0
2025-10-23 00:00:00+00:00,XAUUSDm,D1,4087.639,4154.684,4065.984,4121.703,534793,160,0
2025-10-24 00:00:00+00:00,XAUUSDm,D1,4121.728,4144.297,4043.978,4113.082,510483,160,0
2025-10-26 00:00:00+00:00,XAUUSDm,D1,4083.572,4109.193,4061.912,4064.458,50184,160,0
2025-10-27 00:00:00+00:00,XAUUSDm,D1,4064.532,4097.781,3971.348,3998.491,569997,160,0
2025-10-28 00:00:00+00:00,XAUUSDm,D1,3998.379,4019.767,3886.54,3964.818,559371,160,0
2025-10-29 00:00:00+00:00,XAUUSDm,D1,3964.847,4030.268,3917.19,3952.836,549313,160,0
2025-10-30 00:00:00+00:00,XAUUSDm,D1,3952.798,4046.422,3915.301,4036.658,539000,160,0
2025-10-31 00:00:00+00:00,XAUUSDm,D1,4036.633,4039.309,3972.406,4001.621,447021,160,0
2025-11-02 00:00:00+00:00,XAUUSDm,D1,3990.719,3998.936,3977.946,3980.468,17526,160,0
2025-11-03 00:00:00+00:00,XAUUSDm,D1,3980.378,4030.646,3962.306,3997.194,412513,160,0
2025-11-04 00:00:00+00:00,XAUUSDm,D1,3997.301,4000.711,3928.81,3934.767,415493,160,0
2025-11-05 00:00:00+00:00,XAUUSDm,D1,3934.793,3990.518,3929.598,3973.671,312515,160,0
2025-11-06 00:00:00+00:00,XAUUSDm,D1,3973.63,4019.609,3964.543,3989.177,302629,160,0
2025-11-07 00:00:00+00:00,XAUUSDm,D1,3989.212,4027.628,3984.058,4001.422,298842,160,0
2025-11-09 00:00:00+00:00,XAUUSDm,D1,4004.876,4012.265,4004.027,4011.86,11896,160,0
2025-11-10 00:00:00+00:00,XAUUSDm,D1,4011.87,4122.665,4011.132,4119.955,320082,160,0
2025-11-11 00:00:00+00:00,XAUUSDm,D1,4119.992,4148.862,4097.107,4142.639,304653,160,0
2025-11-12 00:00:00+00:00,XAUUSDm,D1,4142.641,4211.751,4098.923,4191.097,399827,160,0
2025-11-13 00:00:00+00:00,XAUUSDm,D1,4191.055,4245.332,4145.372,4185.929,502140,160,0
2025-11-14 00:00:00+00:00,XAUUSDm,D1,4185.951,4211.561,4032.197,4084.62,570531,160,0
2025-11-16 00:00:00+00:00,XAUUSDm,D1,4083.755,4106.794,4071.875,4096.461,23002,160,0
2025-11-17 00:00:00+00:00,XAUUSDm,D1,4096.528,4102.076,4006.848,4036.825,496066,160,0
2025-11-18 00:00:00+00:00,XAUUSDm,D1,4036.862,4082.273,3998.052,4076.65,477219,160,0
2025-11-19 00:00:00+00:00,XAUUSDm,D1,4076.692,4132.686,4055.572,4104.662,494859,160,0
2025-11-20 00:00:00+00:00,XAUUSDm,D1,4104.692,4110.327,4038.727,4079.097,602096,160,0
2025-11-21 00:00:00+00:00,XAUUSDm,D1,4079.141,4101.27,4022.258,4066.113,548192,160,0
2025-11-23 00:00:00+00:00,XAUUSDm,D1,4072.469,4077.681,4065.815,4075.117,14659,160,0
2025-11-24 00:00:00+00:00,XAUUSDm,D1,4075.148,4144.411,4039.842,4143.81,376297,160,0
2025-11-25 00:00:00+00:00,XAUUSDm,D1,4143.802,4159.498,4109.156,4133.73,428156,160,0
2025-11-26 00:00:00+00:00,XAUUSDm,D1,4133.808,4173.57,4132.595,4165.012,343459,160,0
2025-11-27 00:00:00+00:00,XAUUSDm,D1,4164.965,4167.313,4142.573,4163.431,207202,160,0
2025-11-28 00:00:00+00:00,XAUUSDm,D1,4163.371,4226.479,4147.529,4219.212,232572,160,0
2025-11-30 00:00:00+00:00,XAUUSDm,D1,4219.954,4225.289,4205.826,4221.933,15731,160,0
2025-12-01 00:00:00+00:00,XAUUSDm,D1,4221.906,4264.527,4215.434,4227.679,428180,160,0
2025-12-02 00:00:00+00:00,XAUUSDm,D1,4227.704,4230.859,4163.545,4212.876,428497,160,0
2025-12-03 00:00:00+00:00,XAUUSDm,D1,4212.913,4241.579,4194.48,4207.165,388249,160,0
2025-12-04 00:00:00+00:00,XAUUSDm,D1,4207.102,4219.46,4174.834,4206.079,353544,160,0
2025-12-05 00:00:00+00:00,XAUUSDm,D1,4206.077,4259.24,4191.863,4198.522,356601,160,0
