timestamp,symbol,timeframe,open,high,low,close,tick_volume,spread,real_volume
2025-09-25 22:00:00+00:00,XAUUSDm,M30,3748.251,3749.472,3746.303,3749.358,1516,160,0
2025-09-25 22:30:00+00:00,XAUUSDm,M30,3749.374,3751.594,3748.198,3748.845,3256,160,0
2025-09-25 23:00:00+00:00,XAUUSDm,M30,3748.831,3749.94,3738.051,3743.003,4537,160,0
2025-09-25 23:30:00+00:00,XAUUSDm,M30,3743.042,3745.709,3739.591,3744.717,3997,160,0
2025-09-26 00:00:00+00:00,XAUUSDm,M30,3744.676,3748.943,3740.215,3741.887,6157,160,0
2025-09-26 00:30:00+00:00,XAUUSDm,M30,3741.857,3749.597,3741.165,3749.569,4819,160,0
2025-09-26 01:00:00+00:00,XAUUSDm,M30,3749.639,3753.33,3738.733,3741.155,8459,160,0
2025-09-26 01:30:00+00:00,XAUUSDm,M30,3741.116,3744.221,3737.693,3738.969,5694,160,0
2025-09-26 02:00:00+00:00,XAUUSDm,M30,3738.998,3741.151,3737.798,3740.945,4126,160,0
2025-09-26 02:30:00+00:00,XAUUSDm,M30,3740.907,3742.896,3737.603,3738.419,4105,160,0
2025-09-26 03:00:00+00:00,XAUUSDm,M30,3738.455,3742.654,3734.464,3742.537,3959,160,0
2025-09-26 03:30:00+00:00,XAUUSDm,M30,3742.556,3746.092,3742.297,3745.435,2896,160,0
2025-09-26 04:00:00+00:00,XAUUSDm,M30,3745.474,3747.644,3744.758,3744.896,2537,160,0
2025-09-26 04:30:00+00:00,XAUUSDm,M30,3744.881,3747.768,3744.648,3747.724,2583,160,0
2025-09-26 05:00:00+00:00,XAUUSDm,M30,3747.609,3747.861,3744.53,3746.696,2416,160,0
2025-09-26 05:30:00+00:00,XAUUSDm,M30,3746.736,3749.612,3741.865,3742.11,3622,160,0
2025-09-26 06:00:00+00:00,XAUUSDm,M30,3742.061,3754.165,3741.468,3751.675,5926,160,0
2025-09-26 06:30:00+00:00,XAUUSDm,M30,3751.702,3752.855,3742.294,3743.66,6813,160,0
2025-09-26 07:00:00+00:00,XAUUSDm,M30,3743.608,3745.81,3739.181,3745.205,6280,160,0
2025-09-26 07:30:00+00:00,XAUUSDm,M30,3745.246,3749.56,3744.467,3747.971,4118,160,0
2025-09-26 08:00:00+00:00,XAUUSDm,M30,3747.991,3752.556,3747.025,3751.078,4314,160,0
2025-09-26 08:30:00+00:00,XAUUSDm,M30,3751.034,3755.206,3750.772,3752.951,3709,160,0
2025-09-26 09:00:00+00:00,XAUUSDm,M30,3752.914,3754.455,3748.037,3748.891,3761,160,0
2025-09-26 09:30:00+00:00,XAUUSDm,M30,3748.924,3751.558,3747.237,3751.509,3144,160,0
2025-09-26 10:00:00+00:00,XAUUSDm,M30,3751.527,3755.015,3748.966,3749.587,3572,160,0
2025-09-26 10:30:00+00:00,XAUUSDm,M30,3749.548,3749.87,3742.903,3744.65,3810,160,0
2025-09-26 11:00:00+00:00,XAUUSDm,M30,3744.646,3751.457,3744.416,3751.062,3832,160,0
2025-09-26 11:30:00+00:00,XAUUSDm,M30,3751.037,3752.898,3748.409,3748.706,3759,160,0
